,comments,category
2681,Бүгін Мемлекет басшысының қатысуымен өткен Жаңа индустрияландыру қазақстандық барыстың қадамы ұлттық телекөпір барысында Шымкент қаласында орналасқан көлік-логистикалық орталығындағы Continental Logistics Shymkent А  санатындағы кешенді іске қосты.,positive
2682,"Мұнда құрғақ және климаттық қоймалардан бөлек, контейнерлік терминал, кедендік ресімдеу аймағы мен ілеспелі құрылымдары бар.",positive
2683,Телекөпірге Оңтүстік Қазақстан облысының әкімі Жансейіт Түймебаев пен Қазақстан темір жолы ҰК АҚ вице-президенті Санжар Елубаев және орталық қызметкерлері қатысты.,neutral
2684,Елбасыға жаңа нысанның маңыздылығы туралы вице-президент баяндады.,positive
2685,Құрметті Президент!,positive
2686,Біз Шымкент қаласында мультимодельді көлік-логистикалық орталықтың құрылысын аяқтадық.,neutral
2687,Жыл сайын шамамен 1 млн тонна жүк өткізіледі.,neutral
2688,"Біздің орталық - Шығыс-Батыс, Оңтүстік-Солтүстік ағынына қызмет ететін кеден аймағы мен толық сервистік желісі қамтылған заманауи кешен.",neutral
2689,"Нұрсұлтан Әбішұлы, осы инфрақұрылымдық жобаны іске қосуға рұқсат етіңіз!, -деп сұрады Қазақстан Темір Жолы ҰК АҚ вице-президенті Санжар Елубаев.",neutral
2690,"Мамандардың айтуынша, Батыс Еуропа - Батыс Қытай магистралі мен теміржол желісіне жақын орналасқан Continental Logitics Shymkent жаңа көліктік-логистикалық орталығының географиялық тұрғыдан тиімді орналасуында.",neutral
2691,Бұл өңірді көліктік-логистикалық хаб ретінде қалыптастыруға және Қазақстанның аумағы арқылы айналымды ұлғайтуға күшті серпін беретін жүктерді шоғырландыру және консолидациялау орталығы ретінде дамытуға ықпал етеді.,neutral
2692,"Айта кету керек, аймақтың жүк жөнелтушілер үшін артықшылығы Cross Docking мультимодальды қызмет көрсету жүйесін енгізуі.",neutral
2693,"Бұл жүйе қоймалардағы қарапайым жүктерді қоспағанда, әсіресе, үлкен көлемде Өзбекстан, Тәжікстан, Қырғызстан мен Ресейден жеткізілетін жеміс-көкөніс өнімдері сияқты бұзылатын тауарлар үшін өте маңызды болып табылады.",neutral
2694,"Қазіргі кезде жалпы аумағы 92 гектарды құрайтын Оңтүстік көлік-логистикалық орталығында инвестиция құны 35,6 млрд теңге болатын 8 жоба жүзеге асырылуда.",neutral
2695,Аумағы – 242 500 шаршы метрді құрайды.,neutral
2696,"Мұнда кедендік рәсімдеу, фитосанитарлық және ветеринарлық бақылау қызметтері бір терезе қағидасымен жүргізілсе, бұған қоса уақытша сақтау қызметі де қарастырылған.",neutral
2697,"Шымкенттегі аталған КЛО халықаралық және республикалық жүк ағымына қызмет көрсету, сондай-ақ, тауарлардың қала мен өңірлерге таратылуы үшін қойма және ілеспе қызметтер ұсыну мақсатында құрылған.",neutral
2698,Балқашта нәрестесін түнде пәтерде қараусыз қалдырып кеткен әйел көршілерінің зәресін ұшырды деп хабарлайды NUR.KZ порталы.,negative
2699,Нәресте.,neutral
2700,Көрнекі фото vk.com,neutral
2701,Нәрестенің шырылдап жылағанын естіген көршілері ұзақ уақыт бойы пәтердің есігін қаққан.,neutral
2702,Алайда пәтерді ешкім ашпағасын олар бірден полиция шақыртыпты.,neutral
2703,"Белгілі болғандай, анасы сәбиді пәтерде жападан жалғыз қалдырып кеткен.",negative
2704,"Ұл бала қатты жылап, айқайлаған.",neutral
2705,Біз есікті ешкім ашпағасын полиция шақырттық.,neutral
2706,Бір жамандық болып қалды ма деп ойладық.,neutral
2707,"Бала үйде жалғыз қалыпты, - дейді көршілері.",neutral
2708,Полицейлер нәрестені емханаға алып барған.,neutral
2709,Ақ халаттылар баланың денсаулығы жақсы екенін айтуда.,neutral
2710,Ол тек қатты шошып қалған.,neutral
2711,Көп ұзамай баласына қайтып оралған анасы көршілерден нәрестені полиция алып кеткенін біледі.,neutral
2712,"Ол нәресте қатты ұйқыға кеткесін, құрбысын автостанциядан күтіп алуға шығып кеткенін алға тартыпты.",neutral
2713,Осылайша баласын екі сағатқа еш алаңсыз жалғыз қалдырған әйел енді оны бірден қайтарып ала алуы екіталай.,neutral
2714,Сәби әлі де Балқаштың емханасында.,neutral
2715,Ал полицейлер нәрестені анасына бірқатар тексерістерден кейін ғана қайтаратын болады.,neutral
2716,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2717," Елбасы Нұрсұлтан Әбішұлы Назарбаев елімізде транспорттық-логистикалық инфрақұрылымды дамыту, жұмыс орындарын құру және бизнеске мемлекет тарапынан айрықша қолдау көрсету Нұрлы жол бағдарламасының міндеттеріне кіретінін айтқан еді.",positive
2718,Қазіргі таңда аталған бағдарлама аясында облыста ауқымды жобалар жүзеге асырылып жатыр.,positive
2719,Бүгін аймақ басшысы Ералы Тоғжанов Жетібай-Жаңаөзен автожолын қайта жаңарту жұмысына қатысты.,positive
2720,Жолдың ұзындығы 73 шақырымды құрайды.,neutral
2721,Жалпы құны 25 млрд.теңгені құрайтын жобаға Азия Даму Банкісі қаражат бөлуде.,positive
2722,Бүгін Жалпыұлттық көпір аясында үлкен кәсіпорындар іске қосылды.,positive
2723,"Қазақстан бойынша 25 үлкен жобаның ішінде өздеріңіз куә болғандай, Шетпе-Жетібай-Ақтау жолы бүгін Елбасыға тапсырылды.",positive
2724,Сондықтан осы нысанның жүзеге асырылуына атсалысқан барлық азаматтарға алғысымды айтамын.,positive
2725,"Міне, қазір сол ірі жобаның жалғасы ретінде Жетібай мен Жаңаөзеннің арасындағы жолдың бастамасын бастағалы тұрмыз.",positive
2726,"Бұл жәй ғана бастама емес, бұл алдымен адамдардың қауіпсіздігі.",positive
2727,"Қазір Ақтау мен Жетібай, Жетібай мен Шетпе арасындағы автожолда жол апаты бірнеше пайызға дейін төмендеген.",positive
2728,"Яғни, жолдың сапасы халықтың өмірін қамтамасыз етумен тікелей байланысты.",neutral
2729,"Екіншіден, жолдың бойында кәсіпкерлер кәсібін жүргізе алады.",neutral
2730,"Үшіншіден, қаншама азамат жұмыспен қамтылды.",positive
2731,Мына құрылыс жұмыстарына 600 адам тартылды.,neutral
2732,Қазақстанның тарихында алғаш рет Батыс Қытай мен Батыс Еуропа арасын жалғастыруға мүмкіндік туды.,neutral
2733,Соның жолы ашылды.,neutral
2734,Елбасының үлкен бастамасының алғашқы сатысы жүзеге асты.,neutral
2735,"Қазақстан - Еуразиялық көліктік-логистикалық хабқа айналатын күн алыс емес қой деп ойлаймын,- деді Ералы Тоғжанов.",neutral
2736,"Айта кетейік, 1-учаске бойынша жолдың 35 шақырымына дейін жөндеу жұмыстарын Ақ жол құрылыс ЖШС мен Аккорд АҚ жүргізеді, ал әрі қарай 2-учаске бойынша 73 шақырымға дейін Дженгиз Иншаат АФ АҚ жұмыс жасайды.",neutral
2737,Әлемде барлығы 251 ел бар.,neutral
2738,Олардың бәрінің атауы қайдан пайда болғанын ғалымдар түсіндіріп берді.,neutral
2739,Бұл туралы NUR.KZ порталы travelask.ru сайтына сілтеме жасап хабарлайды.,neutral
2740,Әлем елдері.,neutral
2741,Көрнекі фото travelask.ru,neutral
2742," Оксфордтың әлемдік географиялық атаулары сөздігіне сенсек, мемлекет атаулары келесі төрт санаттың біріне кіреді ",neutral
2743,Географиялық орналасуына қатысты атау,neutral
2744," Мәселен Норвегия атауы ескінорвегиялық northr және veg Norðrvegr сөздерінен құралып, солтүстік жол деген мағына береді.",neutral
2745,"Австралия атауы болса, белгісіз оңтүстік жер мағынасына пара-пар лат.",neutral
2746,terra australis incognita.,neutral
2747,Австрия — шығыс патшалық.,neutral
2748,Елдің ерекшелігі,neutral
2749,Коста-Рика испан тілінде бай жағалау деген мағына береді.,neutral
2750,Мұндай атауды Христофор Колумб жергілікті тұрғындардың алып алтындар тағып жүргенін көріп берген.,neutral
2751,Барбадоса атауын португалиялық зерттеуші Педро Кампос берген.,neutral
2752,Los Barbados сақалдылар деген мағына береді.,neutral
2753,"Зерттеуші өңірдегі ағаштардың сақалды адамдарға ұқсас екенін байқап, осындай оғаш атау беріпті.",neutral
2754,"Ал Аргентина латынның argentum сөзінен шығып, күміс деген мағына береді.",neutral
2755,"Өңірде кей мәліметтерге сенсек, өзен толы күміс табылған.",neutral
2756,Тайпаның немесе этникалық топтың атауы,neutral
2757,Ресей атауы рос атты халықтың атауынан пайда болған.,neutral
2758,Кей ғалымдар рос халқын көне викингтерге жатқызады.,neutral
2759,"Франция - франктар елі, ал Италия — бұзаулар елі.",neutral
2760,Себебі елде бұзау өсірумен айналысатын витали халқы болған.,neutral
2761,Тарихи тұлға,neutral
2762,Филиппиндер атауын Филипп королінің құрметіне алған.,neutral
2763,Боливия елі тұңғыш президенті болған Симон Боливардың құрметіне аталды.,positive
2764,Ал Америка саяхатшы Америго Веспуччидің құрметіне қойылды деген сенім бар.,neutral
2765,Келер жылы базалық зейнетақыны есептеу жұмыстарына өзгерістер енгізіледі.,neutral
2766,Тіпті біріңғай жинақтаушы зейнетақы қорынан берілетін төлемді есептеу тәртібіде өзгеше болмақ деп хабарлайды ТВК арнасына сілтеме жасаған NUR.KZ.,neutral
2767,Көрнекі фото желіден алынды,neutral
2768," Заңды құжат күшіне енгеннен бастап, мемлекеттік бюджеттен төленетін базалық зейнетақы еңбек өтілі мен жинақтаушы зейнетақы жүйесіне қатысу өтілін ескере отырып тағайындалатын болады.",neutral
2769,Егер зейнеткердің 1998 жылдың 1 қаңтарына дейінгі еңбек тәжірибесі 10 жылдан төмен болса онда бұл көрсеткіш базалық зейнетақының ең төменгі күнкөріс деңгейінің 54 пайызын құрайды.,neutral
2770,Яғни бұл төлем 14 416 теңгеге тең.,neutral
2771,Керісінше еңбек тәжірибесі 10 жылдан асқан әрбір жыл үшін оның мөлшері 2 пайызға өсіп отырады.,neutral
2772,"Ал 33 жылдан жоғары болса, зейнетақы мөлшері ең төменгі күнкөріс деңгейінің 100 пайызын құрап, одан асырылмайды.",neutral
2773,"БЖЗҚ АҚ ОҚОФ бөлім басшысы Әбдімұрат Исабаевтың айтуынша, 2018 жылдың 1 қаңтарынан зейнетақы қорынан төлем алу жолыда өзгермек.",neutral
2774,"Сонымен қатар келесі жылдың 1 қаңтарынан бастап, нәзік жандардың зейнетке шығу жасы да 6 айға ұлғаяды.",neutral
2775,Тіпті бұл үрдіс жүйелі түрде жыл сайын іске асатын болады.,neutral
2776,"1960 жылы 1 қаңтар мен 30 маусымда туылған азаматтардың барлығы 58,5 жаста зейнетке шығатын болады.",neutral
2777,Ал 1960 жылы 1 шілде мен 31 желтоқсан аралығында туылғандар 2019 жылы зейнетке 59 жаста шығатын болады.,neutral
2778,"Дәл осылай 2027 жылға дейін жарты жылдан қосылып, осы жылы ерлер мен әйелдер де 63 жастан зейнетке шығады, - дейді Әбдімұрат Исабаев.",neutral
2779,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2780,Жол апатынан кейін алғаш рет ел алдына шыққан Ернар Айдар сахнада көз жасын тоқтата алмады,negative
2781," Жол апатынан кейін тыңдарманымен алғаш рет қауышқан Ернар Айдар, күні кеше ел алдында есеп беру кешін өткізді.",negative
2782,"Дәл осы күні ол басынан өткен қиын жағдайды еске алып, көз жасын тоқтата алмады деп хабарлайды NUR.KZ.",negative
2783,Бұл туралы ол НТК арнасының Ревю бағдарламасында айтты.,neutral
2784,Фото әншінің Instagram парақшасынан алынды,neutral
2785," Атышулы жол көлік оқиғасынан кейін, Ернар Айдар арбаға таңылуға шақ қалған-ды.",negative
2786,"Омыртқасынан зақым алған әнші, аурухана төсегінде талай таңды көз ілмей атырғанын айтады.",negative
2787,"Араға уақыт салып, халықпен қайта қауышқан өнер иесі көз жасына ерік беріп, концертінде аздаған үндіздік орнады.",neutral
2788,Мен аман-есенмін!,negative
2789,"Әуелі Алла, сосын сіздердің арқаларыңызда.",positive
2790,"Бірігіп бір-бірімізге деген сағынышымызды басайық деген, ән кеш қой былайша айтқанда, - деді әншінің өзі.",positive
2791,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2792,Елбасы телекөпір барысында Шымкент қаласындағы Химфарм акционерлік қоғамының қатты дәрілер шығаратын цехын іске қосты.,neutral
2793,"Жалпы құны 13,5 млн АҚШ доллары болатын бұл жоба кәсіпкерлікті қолдау картасы аясында жүзеге асырылды.",neutral
2794,"Өнімнің 80 пайызы ішкі нарыққа, қалған 20 пайызы экспортқа жіберіледі деп жоспарлануда.",neutral
2795,Қатты дәрі шығаратын өндіріс цехы заманауи құрылғылармен жабдықталған.,neutral
2796,"Мұнда 72 адам жұмыспен қамтылса, олардың басым бөлігі арнайы Polpharma тобының үздік өндіріс орындарында оқып келген.",neutral
2797,Бұл жоба - Шымкенттегі инвестициялық жобаның маңызды бір бөлігі болып табылады.,neutral
2798,Компанияның бас директоры Ижи Урбанец осымен төртінші цехтың ашылып отырғанын жеткізді.,neutral
2799,Біз жалпы көлемі 108 млн доллар көлемінде инвестиция құюды жоспарлап отырмыз.,neutral
2800,Жаңа цехты іске қосқаннан кейін біз экспорттық әлеуетімізді 5 млрд теңгеге жеткізе аламыз.,neutral
2801,"Химфармның атынан фармацевтикалық саланы қолдап, инвесторларға ыңғайлы жағдай жасағаныңыз үшін алғыс айтамыз, - деді Урбанец.",neutral
2802,Бүгінгі таңда зауытта 1200-ден астам жоғары білікті маман жұмыс істейді.,neutral
2803,Өндірістің барлығы әлемдік сапа стандартына сай келеді.,neutral
2804,Химфарм АҚ жобалары Президенттің фармацевтикалық саладағы отандық өндіріс үлесін арттыру тапсырмасымен индустриаландыру және жаһандық жаңару бағдарламасы аясында жүзеге асырылуда.,neutral
2805,Салалық GMP стандарына толық сай келетінін бұл цехта жылына түрлі дертті емдеуге арналған 20 миллионнан астам қорап дәрі шығарылады.,neutral
2806,Алдағы уақытта цех жылына 600 миллион таблетка шығаруды жоспарлап отыр.,neutral
2807,Оған мүмкіндігіміз толық жетеді дейді компания өкілдері.,neutral
2808,Қазақстан президенті Нұрсұлтан Назарбаев Қырғыз Республикасының президенті Сооронбай Жээнбековпен телефон арқылы сөйлесті деп хабарлайды Ақорданың баспасөз қызметіне сілтеме жасаған NUR.KZ.,neutral
2809,Нұрсұлтан Назарбаев пен Сооронбай Жээнбеков.,neutral
2810,Фото akorda.kz,neutral
2811,Мемлекеттер басшылары әңгіме барысында екіжақты ынтымақтастықтың және өңірлік күн тәртібінің мейлінше өзекті мәселелерін талқылады.,positive
2812,Президенттер биылғы 2 желтоқсанда Астанада екі ел үкіметтері қол қойған Жол картасын дәйекті түрде іске асырудың маңыздылығын атап өтті.,positive
2813,"Бұл тұрғыда Қырғызстан президенті күшейтілген шекаралық бақылаудың алынып, Қазақстан-Қырғызстан шекарасын күзету күнделікті режімге көшірілгені үшін Қазақстан президентіне алғыс айтты.",positive
2814,"Сондай-ақ, Нұрсұлтан Назарбаев пен Сооронбай Жээнбеков алдағы кездесулер кестесін, соның ішінде Қырғызстан президентінің Қазақстанға сапармен келу мәселесін қарастырды.",neutral
2815,Телефон арқылы сөйлесуге Қырғызстан жағы бастамашы болды.,neutral
2816,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2817,Әлемдегі ең бай адамдардың бірі миллиардер Уоррен Баффет бай болудың бес жолын айтты.,positive
2818,Бұл туралы massaget.kz-ке сілтеме жасаған NUR.KZ хабарлайды.,neutral
2819,Фото UTMagazine.ru,neutral
2820,Мүмкіндігінше жақсы өмір сүр!,positive
2821,"Кеңес берушінің айтқанын істемей тұрып, жақсылап тыңдап ал.",positive
2822,"Сосын қайсысын дұрыс деп санайсың, соны жаса.",positive
2823,Ең жақсы инвестиция – өзіңе құйған инвестиция.,positive
2824,"Ақша адам жасамайды, керісінше, адам ақша жасайды.",positive
2825,Кредит карталарынан аулақ жүр!,positive
2826,"Брендтердің артынан жүрме, қайсысы ұнап тұр, соған бар.",positive
2827,Кез келген жаңадан кәсіп бастаушы адам осындай ірі кәсіпкерлердің өмірі мен айтқан кеңестерін оқиды.,positive
2828,Бұл байлықтың 5 ережесі қарапайым адамдар үшін өте пайдалы.,positive
2829,Өйткені адамдардың көпшілігі қымбат заттармен ерекшеленуге тырысады.,neutral
2830,Бірақ Уоррен Баффет өзінің барлық байлығына қарамастан өте қарапайым өмір салтымен жүреді.,positive
2831,Оның қарапайым үйі бар.,neutral
2832,"Байлығы 77.3 миллиард болса да қымбат  мейрамханаларға кіріп тамақтанбайды, арзан көлікпен жүргенді ұнатады.",positive
2833,Миллиардердің кеңесі өзінің өмірлік тәжірибесіне негізделген.,neutral
2834,"Ол осынау ережелерді басшылыққа ала отырып, бай болды.",positive
2835,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2836,Алматыдағы егіздер өлімі Анасы күйеуінен ең құрығанда бір баланы тірі қалдыруды сұраған,negative
2837,Алматы қалалық қылмыстық істер бойынша мамандандырылған ауданаралық сотында егіздер өлімі бойынша сот талқылауы жалғасуда деп хабарлайды Sputnik Қазақстан агенттігіне сілтеме жасаған NUR.KZ.,negative
2838,Көрнекі фото sputniknews.kz,neutral
2839,Сотта егіздерді өлтірді деген айыппен ұсталған Өзбекстан азаматы Эмиль Гильмутдинов пен Алла Волченконы тергеген Алматы ІІД тергеушілерінен жауап алынды.,negative
2840,"Олардың айтуынша, күдіктілер тергеу барысында қарсылық көрсетпеген.",negative
2841,Содан соң судья Эмиль Гильмутдиновтың сотқа дейінгі тергеу барысында берген жауабын оқыды.,neutral
2842,Мен Салават пен Ринатты өлтірмекші екенімді айттым.,negative
2843,"Ол шошып, олай жасамауымды, тым құрығанда біреуін тірі қалдыруымды сұрады, — деп оқыды судья Ерлан Болатов.",negative
2844,"Гильмутдиновтың сөзінше, әйелі балаларды өлтірмек болғанын білмеген.",negative
2845,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2846,Еліміздің энергетика министрі Қанат Бозымбаев бензин бағасына қатысты кезекті рет екіұшты мәлімдеме жасады.,neutral
2847,Оның сөзінше.,neutral
2848,"Қазақстан ОПЕК-ке мүше болмаса да, көппен бірге өндірісін қысқартты деп хабарлайды КТК арнасына сілтеме жасаған NUR.KZ.",neutral
2849,Бензин бағасы арзандайды.,neutral
2850,Фото Интернет желісінен,neutral
2851," Біз жақын күндері мұнай зауыттарымен жиналып, бағаларды қараймыз.",neutral
2852,"Егер мұнайдың экспорттық кұны өссе, оның соңынан ішкі нарықтағы баға да қымбаттайды.",neutral
2853,"Бірақ жыл соңына дейін 25 күн қалды, менің ойымша бензин бағасы өспеуі тиіс.",neutral
2854,"Төмендеуі мүмкін бе дегенге келсек, иә, мүмкін,- деді Қанат Бозымбаев.",neutral
2855,"Бүгінде әлемде мұнай бағасы салыстырмалы түрде жоғары, барреліне 62-63 долларда тұрақтапты.",neutral
2856,"Алайда, Қазақстан қажет деп шешкен күнде халықаралық ұйымға өтініш білдіріп келісімді бұза алатын көрінеді.",neutral
2857,"Министр қазақстандық мұнайшылар өнімін сыртқа аталған бағамен сатып, өз зауыттарымызға 20-30 доллардан беріп қып-қызыл шығынға батып жатыр дейді.",neutral
2858,"Сондықтан, экспорттық бағалар өссе, іштегі баға да іле өзгеруі мүмкін.",neutral
2859,"Бірақ өсімді елемей, Бозымбаевтың болжамы бойынша бензин бағасы төмендеуі тиіс.",neutral
2860,"Оралда екі келіншек пен үш жастағы бүлдіршінді пышақтап өлтіріп, артынан денелерін өртеп жіберген атышулы іске қатысты сот процесі басталды.",negative
2861,Қылмысты 24 жастағы азамат жасаған деп хабарлайды КТК арнасына сілтеме жасаған NUR.KZ.,negative
2862,Әділет Қамалиев әу бастан-ақ осы сұмдық қылмысты жасағанын мойындаған.,negative
2863,"Тергеу кезінде белгілі болғаны, үйленген, екі баласы бар ол 23 жастағы Баянсұлу есімді келіншекпен көңіл қосып жүріпті.",negative
2864,Бірақ артынан марқұм одан теріс айналған.,negative
2865,Бұған ашуланған жігіт сүйіктісі мен оның үш жастағы баласын және 23 жастағы құрбысын пышақтап өлтірген.,negative
2866,"Сөйтіп, қылмысын жасыру үшін көңілдесі жалдап тұрып жатқан үйді өртеп жіберіпті.",negative
2867,"Бұған жаза ретінде келесі басты сот талқылауында көзделген санкция бойынша, яғни 20 жыл немесе өмір бойы бас бостандығынан айыру жазасы белгіленген.",negative
2868,"Енді оны алдағы уақытта қарастыра жатамыз,- деді мемлекеттік айыптаушы Жанболат Айманов.",negative
2869,"Еске салсақ, Батыс Қазақстан облысын дүр сілкінткен қанды оқиға қыркүйектің бесінде орын алған.",negative
2870,Өртке оранған баспанадан екі келіншек пен үш жастағы баланың өлі денесі табылды.,negative
2871,"Ертеңіне олардың өрттен емес, кісі қолынан қаза тапқаны анықталды.",negative
2872,Ал сотталушы бұрын ұрлық жасағаны үшін сотталған болып шықты.,negative
2873,Енді бұл жолы ол өмір бойына түрмеге жабылуы мүмкін.,negative
2874,Қазақтың соңғы ханының былғары белбеуі 1915 жылы Санкт-Петербург музейіне тапсырылған.,neutral
2875,Зерттеуші Берік Әбдіғалиұлы Санкт-Петербург музейлерінің бірінен Кенесары ханға тиесілі ежелгі кісені тауып алды деп хабарлайды Sputnik Қазақстан сайтына сілтеме жасаған NUR.KZ.,neutral
2876,Кенесарының кісесі.,neutral
2877,Фото Sputnik Қазақстан,neutral
2878," Саяси ғылымдар докторының айтуынша, өткен жүзжылдықтың басында белбеуді Ресей этнографиялық музейіне Алаш Орда үкіметінің мүшесі Сейілбек Жанайдаров тапсырған.",neutral
2879,"Алаш әскері тақырыбын зерттеп жүріп, Сейілбек Жанайдаровтың 1915 жылы Санкт-Петербургтегі Ресей этнографиялық музейіне Кенесары ханның кісесін тапсырғаны туралы дерек кездестірдім.",neutral
2880,Бұл жәдігер Ксе – пояс киргизского хана Средней Орды деген атпен аталған музейдің қорында бүгінгі күнге дейін сақталған екен.,neutral
2881,"Оны мәдениет және спорт министірі Арыстанбек Мұхамедиұлымен Санкт-Петербургтегі музейге барғанда өз көзімізбен көруге мүмкіншілгі туды, — деп жазды зерттеуші Фейсбуктегі парақшасына.",neutral
2882,"Оның айтуынша, Сейілбек Жанайдаров 1918 жылы Атбасар Алаш әскери дивизионын құрған әрі Алашорда үкіметінің кандидат мүшесі болған азамат.",neutral
2883,Бұл жәдігер Сейілбек Жанайдаровтың қолына қалай түскенін зерттей келе анықтағанымыз – ол кісені Сейілбектің атасы – Кенесары ханның әскери қолбасшыларының бірі Жанайдар Орынбайұлынан қалған мұра екен.,neutral
2884,"Жанайдар батырдың ерліктері туралы Мұса Шормановтың, Мәшһүр Жүсіптің, Доскей ақынның, Жамбылдың, Иманжан Жылқайдарұлының естеліктері мен жырларында кездеседі.",positive
2885,"Сондай-ақ, бұл туралы І.Есенберлиннің Қаһар романында да жазылған, — деп толықтырды Берік Әбдіғалиұлы.",neutral
2886,Батырдың ұрпақтары Кенесары хан өзін өлімнен бірнеше рет қорғап қалғаны үшін әрі көрсеткен ерліктері үшін аталған кісені Жанайдар Орынбайұлына тарту еткенін айтқан екен.,positive
2887,"Жалпы Кенесары өз батырларына соғыста көрсеткен ерліктері үшін орден-медаль орнына алғыс ретінде үлкен сый-сияпат, марапаттайтын дәстүрі болған.",positive
2888,Сондай-ақ Көкшетау шайқасында жеңіске жеткені және шынайы ержүректік көрсеткені үшін Кенесары Ағыбай батырға атасы Абылай ханнан қалған қанжарды тарту еткен екен.,positive
2889,"Бұл туралы ақпаратты жақын арада толығырақ көрсетемін, — деп түйіндеді ол.",neutral
2890,Маңғыстау облысында жантүршігерлік апаттан зардап шеккен жас жігіттің халі мүшкіл,negative
2891,Маңғыстау облысында тепловоз бен газельдің соқтығысынан зардап шеккен 16 жолаушы ауруханадан шығарылды.,negative
2892,Әртүрлі дене жарақаттарын алған олар ендігі емді үйлерінде жалғастырады.,negative
2893,"Десе де, 11 адам әлі де ауруханада жатыр.",negative
2894,Олардың жетеуі ауыр жағдайда деп хабарлайды КТК арнасына сілтеме жасаған NUR.KZ.,negative
2895,Көрнекі фото ria.ru,neutral
2896," Әсіресе, 18 жастағы жігіттің халі мүшкіл.",negative
2897,Апаттан бері есін әлі толық жимаған оны дәрігерлер санавияциямен облыстық ауруханаға жеткізбек.,negative
2898,Жағдайы өте ауыр бір науқас бар.,negative
2899,Ол Жаңаөзенде.,neutral
2900,"Бас сүйегі сынған, миы шайқалған.",negative
2901,Оған санавиация шақыртып жатырмыз.,negative
2902,"Жағдайы ауыр, есін бір жиып, бір жоғалтуда, - дейді Маңғыстау облыстық денсаулық сақтау басқармасы бөлім жетекшісі Алтынгүл Көптілеуова.",negative
2903,"Естеріңізге сала кетейік, жантүршігерлік жол апаты қарашаның 25-і күні орын алған еді.",negative
2904,"Жолаушылар тасымалдайтын Газель көлігі мен Қазақстан темір жолы компаниясына тиесілі отарба соқтығысып, 9 адам қаза тапқан болатын.",negative
2905,Зардап шеккендердің арасында балалар да бар.,negative
2906,"Бізбен бөлісер қызықты жаңалығыңыз болса, NUR.KZ порталының WhatsApp нөміріне жолдаңыз  7 747 535 12 98 ",neutral
2907,Алматыда қатыгездікпен өлтірілген апалы-сіңлілі әйелдердің өліміне қатысты жаңа дерек шықты,negative
2908,Алматыда қанішердің қолынан қаза тапқан апалы-сіңлілі екеу жер қойнына тапсырылды.,negative
2909,Ал адам миына кіріп-шықпайтын қылмыс жасаған жауыз әлі іздестіріліп жатыр деп хабарлайды КТК арнасы сілтеме жасаған NUR.KZ.,negative
2910,Марқұм Людмила Тимофеева мен Ольга Суслина.,neutral
2911,Кадр КТК арнасы,neutral
2912,Болған жайды камера алдында айтып беруге туған бауырларының ешқайсысының дәті бармады.,neutral
2913,"Бақилыққа кеткен Людмила Тимофееваның артында үш баласы, ал Ольга Суслинаның бір ұлы қалды.",negative
2914,Іші түгел өртенген баспананың қабырғалары ғана қауқиып тұр.,negative
2915,Бәріне кінәлі жауыздың жасаған ісі адамды түңілдіреді.,negative
2916,"Ольганың әурет жерін, ал Люданың омырауын кесіп алған деп естідім.",negative
2917,"Одан қалды, тамағын осып, денесінің де сау-тамтығын қалдырмаған дейді.",negative
2918,"Тіпті, есі дұрыс емес адамның да мұндай әрекет жасауы екіталай ғой.",negative
2919,"Үйіміздің жанында осындай болып жатқасын, өзіміз де қорқып отырмыз, - дейді марқұмдардың туысы Любовь Доденгефт.",negative
2920,Осы айдың бірінен екісіне қараған түні болған қанды оқиғаның шет-жағасы көрші үйлердің бірінің бейнебақылау камерасына түсіп қалыпты.,negative
2921,Онда екі аяғын әрең басқан біреу жайбарақат кетіп барады.,negative
2922,"Кейін белгілі болғандай, видеодағы адам күдіктінің дәл өзі болып шыққан.",negative
2923,От қаулаған үйді өшіріп жатқан өрт сөндірушілердің онымен ісі жоқ.,negative
2924,Осы жантүршігерлік қылмыстан жапа шеккен үшінші бір адам бар.,negative
2925,Серік есімді жігіт Люда мен Оляға көмектесуге келгенге ұқсайды.,neutral
2926,"Бірақ, жауыз оны да ауыр соққыға жығып, ол қазір аурухананың жансақтау бөлімінде жатыр.",negative
2927,"Марқұмдардың туыстарының айтуынша, бұл оқиға да осындағы бейнебақылау камерасына түсіп қалғанға ұқсайды.",negative
2928,Бірақ тергеу құпиялығына байланысты ол еш жерде жарияланбай отыр.,negative
2929,Тергеу шараларының құпиялығына байланысты үшінші адам туралы ақпарат әзірге жасырын болып тұр.,negative
